firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
23/05/2023;MOT;EUROMOT;EU000A3K4D82;Eu Next Gen Tf 2,75% Ot26 Eur;EUR;1;Senior;16/05/2023;;05/10/2026;;
23/05/2023;MOT;EUROMOT;BE0000359688;Belgium Tf 3,45% Gn43 Eur;EUR;1;Senior;24/05/2023;;22/06/2043;;
17/05/2023;EUROTLX;EUROTLX;XS2492186007;Barclays Sc Mg26 Eur;EUR;1000;Senior;;;18/05/2026;;
15/05/2023;EUROTLX;EUROTLX;XS2558395351;Enbw Fin Green Tf 3,625% Nv26 Call Eur;EUR;1000;Senior;;;22/11/2026;;
15/05/2023;MOT;EUROMOT;XS2624502360;Italy Mc Mg33 Eur;EUR;100000;Senior;17/05/2023;;17/05/2033;;
15/05/2023;MOT;EUROMOT;XS2616399395;Aiib Zc Mg43 Mxn;MXN;100000;Senior;04/05/2023;;04/05/2043;;
10/05/2023;MOT;EUROMOT;XS2608814427;Adb Zc Ap43 Mxn;MXN;1000000;Senior;20/04/2023;;20/04/2043;;
10/05/2023;MOT;EUROMOT;XS2598069503;World Bank Sustainable Zc Mz38 Brl;BRL;10000;Senior;16/03/2023;;16/03/2038;;
10/05/2023;MOT;EUROMOT;XS2546395166;Adb Zc Ot37 Pln;PLN;500000;Senior;21/10/2022;;21/10/2037;;
10/05/2023;MOT;EUROMOT;XS2528343119;Adb Tf 8% St32 Huf;HUF;1000000;Senior;12/09/2022;;12/09/2032;;
09/05/2023;MOT;EUROMOT;FI4000550249;Finland Tf 3% St33 Eur;EUR;1000;Senior;04/05/2023;;15/09/2033;;
09/05/2023;MOT;EUROMOT;EU000A3K4D74;Eu Tf 3,375% Ot38 Eur;EUR;1000;Senior;03/05/2023;;04/10/2038;;
09/05/2023;MOT;EUROMOT;DE000BU3Z005;Bund Green Bond Tf 2,3% Fb33 Eur;EUR;1000;Senior;13/01/2023;;15/02/2033;;
04/05/2023;EUROTLX;EUROTLX;XS2456955272;Gs Intl Oc Ind Link Ap28 Eur;EUR;1000;Senior;;;27/04/2028;;
04/05/2023;EUROTLX;EUROTLX;IT0005539504;Mediobanca Mc Ap27 Eur;EUR;;Senior;;;26/04/2027;;
03/05/2023;EUROTLX;EUROTLX;US91282CGQ87;Usa Tf 4% Fb30 Usd;USD;;Senior;;;28/02/2030;;
03/05/2023;EUROTLX;EUROTLX;US91282CGP05;Usa Tf 4% Fb28 Usd;USD;;Senior;;;29/02/2028;;
03/05/2023;EUROTLX;EUROTLX;US91282CGM73;Usa Tf 3,5% Fb33 Usd;USD;;Senior;;;15/02/2033;;
03/05/2023;EUROTLX;EUROTLX;US91282CGJ45;Usa Tf 3,5% Ge30 Usd;USD;;Senior;;;31/01/2030;;
03/05/2023;EUROTLX;EUROTLX;US91282CGB19;Usa Tf 3,875% Dc29 Usd;USD;;Senior;;;31/12/2029;;
03/05/2023;EUROTLX;EUROTLX;US91282CFY21;Usa Tf 3,875% Nv29 Usd;USD;;Senior;;;30/11/2029;;
03/05/2023;EUROTLX;EUROTLX;US912810TQ13;Usa Tf 3,875% Fb43 Usd;USD;;Senior;;;15/02/2043;;
03/05/2023;EUROTLX;EUROTLX;US912810TN81;Usa Tf 3,625% Fb53 Usd;USD;;Senior;;;15/02/2053;;
03/05/2023;EUROTLX;EUROTLX;US912810TM09;Usa Tf 4% Nv42 Usd;USD;;Senior;;;15/11/2042;;
03/05/2023;MOT;EUROMOT;EU000A2SCAH1;Efsf Tf 3% Dc28 Eur;EUR;1000;Senior;24/04/2023;;15/12/2028;;
02/05/2023;EUROTLX;EUROTLX;XS2615940215;Porsche Tf 4,5% St28 Call Eur;EUR;1000;Senior;;;27/09/2028;;
28/04/2023;EUROTLX;EUROTLX;XS2613472963;Hera Sdg Linked Tf 4,25% Ap33 Call Eur;EUR;100000;Senior;;;20/04/2033;;
28/04/2023;EUROTLX;EUROTLX;XS2609970848;Generali Green Tf 5,399% Ap33 Subt2 Call;EUR;;TIER II;;;20/04/2033;;
28/04/2023;EUROTLX;EUROTLX;XS2607193435;Terna Tf 3,625% Ap29 Call Eur;EUR;100000;Senior;;;21/04/2029;;
28/04/2023;EUROTLX;EUROTLX;XS2598063480;Intsanpaolo Green Mc Mz29 Call Gbp;GBP;;Senior;;;14/03/2029;;
28/04/2023;EUROTLX;EUROTLX;XS2569287795;Banca Ifis Tf 5,875% Dc26 Eur;EUR;10000;Senior;;;22/12/2026;;
28/04/2023;EUROTLX;EUROTLX;XS2567550921;Gs Group Mc Mz29 Eur;EUR;1000;Senior;;;28/03/2029;;
28/04/2023;EUROTLX;EUROTLX;XS2559133363;Intsanpaolo Mc Nv33 Call Usd;USD;;Senior;;;21/11/2033;;
28/04/2023;EUROTLX;EUROTLX;XS2534883363;Intsanpaolo Tf 8,505% St32 Sub Tier2 Gbp;GBP;;TIER II;;;20/09/2032;;
28/04/2023;EUROTLX;EUROTLX;XS2482499949;Gs Fin Corp Mc Infl Link Mz28 Eur;EUR;1000;Senior;;;29/03/2028;;
28/04/2023;EUROTLX;EUROTLX;XS2468223107;Generali Green Tf 5,8% Lg32 Sub T2 Call;EUR;200000;TIER II;;;06/07/2032;;
28/04/2023;EUROTLX;EUROTLX;XS2357754097;Generali Sustainable Tf1,713%Gn32subcall;EUR;100000;TIER II;;;30/06/2032;;
28/04/2023;EUROTLX;EUROTLX;XS2107332640;Gs Group Tf 0,875% Ge30 Eur;EUR;;Senior;;;21/01/2030;;
28/04/2023;EUROTLX;EUROTLX;XS1861206636;Gs Group Tf 2% Nv28 Eur;EUR;1000;Senior;;;01/11/2028;;
28/04/2023;EUROTLX;EUROTLX;XS1458408561;Gs Group Tf 1,625% Lg26 Eur;EUR;1000;Senior;;;27/07/2026;;
28/04/2023;EUROTLX;EUROTLX;XS1362373224;Gs Group Tf 3% Fb31 Eur;EUR;;Senior;;;12/02/2031;;
28/04/2023;EUROTLX;EUROTLX;XS1335427958;Kbn Zc Dc28 Zar;ZAR;;Senior;;;22/12/2028;;
28/04/2023;EUROTLX;EUROTLX;XS0460036915;Deutsche Bk Green Mc Mz29 Autocall Eur;EUR;1000;Senior;;;29/03/2029;;
28/04/2023;EUROTLX;EUROTLX;US195325BK01;Colombia Tf 7,375% St37 Usd;USD;100000;Senior;;;18/09/2037;;
28/04/2023;EUROTLX;EUROTLX;IT0005538837;Mediobanca Tv Ap27 Eur;EUR;1000;Senior;;;19/04/2027;;
28/04/2023;EUROTLX;EUROTLX;IT0005536435;Mediobanca Tf 4,15% Ap28 Eur;EUR;1000;Senior;;;13/04/2028;;
28/04/2023;EUROTLX;EUROTLX;FR001400H2O3;Rci Banque Tf 4,5% Ap27 Call Eur;EUR;1000;Senior;;;06/04/2027;;
28/04/2023;MOT;EUROMOT;FR001400HI98;Oat Tf 2,75% Fb29 Eur;EUR;1000;Senior;25/02/2023;;25/02/2029;;
28/04/2023;MOT;EUROMOT;AT0000A33SK7;Austria Tf 3,15% Ot53 Eur;EUR;1000;Senior;25/04/2023;;20/10/2053;;
28/04/2023;MOT;EUROMOT;AT0000A33SH3;Austria Green Tf 2,9% Mg29 Eur;EUR;1000;Senior;25/04/2023;;23/05/2029;;
28/04/2023;MOT;BTP;IT0005544082;Btp Tf 4,35% Nv33 Eur;EUR;1000;Senior;02/05/2023;;01/11/2033;;
24/04/2023;MOT;EUROMOT;XS2122895159;Adb Tf 6,15% Fb30 Inr;INR;10000;Senior;25/02/2020;;25/02/2030;;
