firstdate;marketcode;segmentcode;isincode;description;currencycode;minimumlot;status;issuedate;issueprice;redemptiondate;redemptionprice;
11/09/2025;MOT;EUROMOT;CH1466688350;Iadb Sustainable Fx 0.675% Jul34 Chf;CHF;5000;Senior;28/07/2025;;28/07/2034;;
11/09/2025;MOT;EUROMOT;CH1335850314;Iadb Sustainable Fx 0.9475% Jul32 Chf;CHF;5000;Senior;26/07/2024;;26/07/2032;;
11/09/2025;MOT;BOT;IT0005669269;Bot Zc Sep26 A Eur;EUR;1000;Senior;;;14/09/2026;;
10/09/2025;EUROTLX;EUROTLX;IT0005667982;Unicredit Spa Fx 2.8% Sep30 Eur;EUR;100000;;;;09/09/2030;;
10/09/2025;MOT;DOMESTICMOT;IT0005643249;Amco Fx 3.25% Apr30 Call Eur;EUR;100000;Senior;02/04/2025;;02/04/2030;;
10/09/2025;MOT;EUROMOT;US4581X0DQ82;Iadb Sustainable Fx 0.625% Sep27 Usd;USD;1000;Senior;16/09/2020;;16/09/2027;;
10/09/2025;MOT;EUROMOT;US4581X0DG01;Iadb Sustainable Fx 2.25% Jun29 Usd;USD;1000;Senior;18/06/2019;;18/06/2029;;
10/09/2025;MOT;EUROMOT;US4581X0DC96;Iadb Sustainable Fx 3.125% Sep28 Usd;USD;1000;Senior;18/09/2018;;18/09/2028;;
10/09/2025;MOT;EUROMOT;FR0014012II5;Oat Fx 3.5% Nov35 Eur;EUR;1;Senior;25/11/2024;;25/11/2035;;
10/09/2025;MOT;EUROMOT;DE000BU27014;Bund Fx 2.5% Nov32 Eur;EUR;1;Senior;29/08/2025;;15/11/2032;;
09/09/2025;EUROTLX;EUROTLX;FR0014012HT4;Airfrance Klm Fx 3.75% Sep30 Call Eur;EUR;100000;;;;04/09/2030;;
08/09/2025;EUROTLX;EUROTLX;XS3171594636;E.On Int Green Fx 3.5% Sep35 Call Eur;EUR;1000;;;;03/09/2035;;
08/09/2025;EUROTLX;EUROTLX;XS3171584595;Cnhindustria Fx 3.875% Sep35 Call Eur;EUR;100000;;;;03/09/2035;;
08/09/2025;EUROTLX;EUROTLX;XS3171591889;E.On Int Green Fx 3% Sep31 Call Eur;EUR;1000;;;;03/09/2031;;
08/09/2025;EUROTLX;EUROTLX;XS3072909107;Golden Goose Fr Eur3m+3.75% May31 Call;EUR;100000;;;;15/05/2031;;
05/09/2025;EUROTLX;EUROTLX;XS3154387057;Sg Issuer Mc Sep40 Call Eur;EUR;1000;;;;05/09/2040;;
05/09/2025;MOT;BTP;IT0005668238;Btp Fx 4.65% Oct55 Eur;EUR;1000;Senior;09/09/2025;;01/10/2055;;
05/09/2025;MOT;BTP;IT0005668220;Btp Fx 3.25% Nov32 Eur;EUR;1000;Senior;09/09/2025;;15/11/2032;;
04/09/2025;MOT;EUROMOT;AT0000A3NY15;Austria Fx 2.8% Sep32 Eur;EUR;100;Senior;02/09/2025;;20/09/2032;;
04/09/2025;MOT;BTP;IT0004976624;Btpstripital Zc Sep33 Eur;EUR;1;Senior;22/05/2013;;01/09/2033;;
04/09/2025;MOT;BTP;IT0001464194;Btpstripital Zc May30 Eur;EUR;1;Senior;17/03/2000;;01/05/2030;;
04/09/2025;MOT;BTP;IT0001464202;Btpstripital Zc Nov30 Eur;EUR;1;Senior;17/03/2000;;01/11/2030;;
04/09/2025;MOT;BTP;IT0001312799;Btpstripital Zc Nov28 Eur;EUR;1;Senior;18/11/1998;;01/11/2028;;
04/09/2025;MOT;BTP;IT0001312807;Btpstripital Zc May29 Eur;EUR;1;Senior;18/11/1998;;01/05/2029;;
04/09/2025;MOT;BTP;IT0001312781;Btpstripital Zc May28 Eur;EUR;1;Senior;18/11/1998;;01/05/2028;;
03/09/2025;EUROTLX;EUROTLX;XS3072428850;Bnpparibasis Oc Com Link Aug30 Usd;USD;1000;;;;12/08/2030;;
03/09/2025;EUROTLX;EUROTLX;IT0005642944;Bcc Pianfei Fx 2.25% Apr28 Eur;EUR;1000;;;;01/04/2028;;
02/09/2025;MOT;EUROMOT;US459056RA75;World Bank Sustainablefx 4.375% Aug35usd;USD;1000;Senior;27/08/2025;;27/08/2035;;
02/09/2025;MOT;EUROMOT;FI4000591862;Finland Fx 2.625% Apr32 Eur;EUR;1000;Senior;28/08/2025;;15/04/2032;;
02/09/2025;MOT;BTP;IT0004976517;Btpstripital Zc Mar28 Eur;EUR;1;Senior;22/05/2013;;01/03/2028;;
02/09/2025;MOT;BTP;IT0004976509;Btpstripital Zc Sep27 Eur;EUR;1;Senior;22/05/2013;;01/09/2027;;
02/09/2025;MOT;BTP;IT0004976491;Btpstripital Zc Mar27 Eur;EUR;1;Senior;22/05/2013;;01/03/2027;;
02/09/2025;MOT;BTP;IT0001247391;Btpstripital Zc May27 Eur;EUR;1;Senior;27/07/1998;;01/05/2027;;
01/09/2025;EUROTLX;EUROTLX;IT0005667693;Unicredit Spa Mc Sep38 Eur;EUR;1000;;;;01/09/2038;;
01/09/2025;MOT;DOMESTICMOT;IT0005667693;Unicredit Spa Mc Sep38 Eur;EUR;1000;Senior;01/09/2025;;01/09/2038;;
01/09/2025;MOT;EUROMOT;US4581X0ER56;Iadb Sustainable Fx 3.625% Sep31 Usd;USD;1000;Senior;17/09/2024;;17/09/2031;;
01/09/2025;MOT;EUROMOT;US4581X0EN43;Iadb Sustainable Fx 4.125% Feb29 Usd;USD;1000;Senior;30/01/2024;;15/02/2029;;
01/09/2025;MOT;EUROMOT;US4581X0EJ31;Iadb Sustainable Fx 3.5% Apr33 Usd;USD;1000;Senior;12/04/2023;;12/04/2033;;
28/08/2025;EUROTLX;EUROTLX;IT0005632663;Cr Fossano Fr Eur6m Feb29 Eur;EUR;1000;;;;10/02/2029;;
28/08/2025;MOT;EUROMOT;US298785KM78;Bei Fx 3.875% Oct30 Usd;USD;1000;Senior;26/08/2025;;15/10/2030;;
25/08/2025;MOT;EUROMOT;XS3144162446;World Bank Sustainab Fx 12.25% Aug33 Brl;BRL;10000;Senior;08/08/2025;;08/08/2033;;
25/08/2025;MOT;EUROMOT;US4581X0EW42;Iadb Sustainable Fx 4.375% Jul35 Usd;USD;1000;Senior;16/07/2025;;16/07/2035;;
25/08/2025;MOT;EUROMOT;US4581X0EV68;Iadb Sustainable Fx 3.75% Jun30 Usd;USD;1000;Senior;07/05/2025;;14/06/2030;;
25/08/2025;MOT;EUROMOT;US4581X0ES30;Iadb Sustainable Fx 4.5% Feb30 Usd;USD;1000;Senior;16/01/2025;;15/02/2030;;
25/08/2025;MOT;EUROMOT;US4581X0CE61;Iadb Fx 4.375% Jan44 Usd;USD;1000;Senior;24/01/2014;;24/01/2044;;
25/08/2025;MOT;EUROMOT;US4581X0BX51;Iadb Fx 3.2% Aug42 Usd;USD;1000;Senior;07/08/2012;;07/08/2042;;
25/08/2025;MOT;EUROMOT;US4581X0BT40;Iadb Fx 3.875% Oct41 Usd;USD;1000;Senior;27/10/2011;;28/10/2041;;
20/08/2025;EUROTLX;EUROTLX;IT0005659187;Mediobanca Mc Aug32 Eur;EUR;1000;;;;13/08/2032;;
19/08/2025;EUROTLX;EUROTLX;XS2688703342;Gs Fin Corp Mc Aug35 Call Usd;USD;100000;;;;05/08/2035;;
13/08/2025;MOT;BOT;IT0005666851;Bot Zc Aug26 A Eur;EUR;1000;Senior;;;14/08/2026;;
08/08/2025;EUROTLX;EUROTLX;IT0005655664;Unicredit Spa Mc Ind Link Jul31 Eur;EUR;1000;;;;31/07/2031;;
06/08/2025;EUROTLX;EUROTLX;IT0005665507;First Cap Fx 5.75% Feb29 Call Eur;EUR;100000;;;;06/02/2029;;
05/08/2025;MOT;EUROMOT;XS2982293156;Gs Group Oc Aug35 Call Eur;EUR;100;Senior;04/08/2025;;04/08/2035;;
05/08/2025;MOT;EUROMOT;XS2982296092;Gs Group Oc Aug35 Call Usd;USD;100;Senior;04/08/2025;;04/08/2035;;
04/08/2025;MOT;EUROMOT;XS2776634144;World Bank Sustainable Fx 8.7% Mar29 Zar;ZAR;10000;Senior;04/03/2024;;04/03/2029;;
04/08/2025;MOT;EUROMOT;XS2757515452;World Bank Sustainablefx 8.65% Jan29 Zar;ZAR;10000;Senior;30/01/2024;;30/01/2029;;
01/08/2025;MOT;DOMESTICMOT;IT0005661498;Ipi Spa Fr Sep32 Amort Call Eur;EUR;1000;Senior;23/09/2025;;22/09/2032;;
31/07/2025;EUROTLX;EUROTLX;XS3099076047;Deutschebank Oc Ind Link Jul30 Eur;EUR;1000;;;;31/07/2030;;
30/07/2025;MOT;EUROMOT;CH1461438173;Austria Green Fx 0.855% Jul37 Chf;CHF;5000;Senior;22/07/2025;;22/07/2037;;
29/07/2025;EUROTLX;EUROTLX;XS2774095934;Bnpparibasis Mc Jun33 Eur;EUR;1000;;;;30/06/2033;;
29/07/2025;MOT;EUROMOT;US45950VUS32;Ifc Fx 3.875% Jul30 Usd;USD;10000;Senior;30/06/2025;;02/07/2030;;
28/07/2025;EUROTLX;EUROTLX;IT0005661704;Bnl Eur3m+0.413% Jul29 Est Covered Eur;EUR;100000;;;;28/07/2029;;
25/07/2025;MOT;EUROMOT;XS3129375732;World Sustainable Bank Fx 3% Jul35 Eur;EUR;1000;Senior;23/07/2025;;23/07/2035;;
24/07/2025;EUROTLX;EUROTLX;IT0005661761;Mediobanca Mc Aug31 Call Eur;EUR;100000;;;;22/08/2031;;
24/07/2025;EUROTLX;EUROTLX;IT0005661282;Cr Bolzano Mc Jul31 Call Eur;EUR;100000;;;;24/07/2031;;
24/07/2025;MOT;EUROMOT;XS3124532311;Ifc Fx 11.75% Jul30 Brl;BRL;5000;Senior;18/07/2025;;18/07/2030;;
23/07/2025;MOT;EUROMOT;CH1415780159;Austria Green Fx 1.0075% Jun45 Chf;CHF;5000;Senior;13/06/2025;;13/06/2045;;
22/07/2025;EUROTLX;EUROTLX;XS3057921523;Bnpparibasis Fr Jul29 Eur;EUR;1000;;;;02/07/2029;;
22/07/2025;MOT;EUROMOT;XS3124393367;Bulgaria Fx 4.125% Jul45 Eur;EUR;1000;Senior;18/07/2025;;18/07/2045;;
22/07/2025;MOT;EUROMOT;XS3128477521;Terna Green Fx 3% Jul31 Call Eur;EUR;100000;Senior;22/07/2025;;22/07/2031;;
22/07/2025;MOT;EUROMOT;XS3124345631;Bulgaria Fx 3.375% Jul35 Eur;EUR;1000;Senior;18/07/2025;;18/07/2035;;
21/07/2025;EUROTLX;EUROTLX;XS3098989588;Kepler Fr Eur3m+4.125% Dec29 Call Eur;EUR;100000;;;;18/12/2029;;
18/07/2025;EUROTLX;EUROTLX;XS3106724241;Dolcetto Spa Fx 5.625% Jul32 Call Eur;EUR;100000;;;;14/07/2032;;
18/07/2025;EUROTLX;EUROTLX;XS3106723516;Dolcetto Spa Fr Eur3m+3.625% Jul32 Call;EUR;100000;;;;14/07/2032;;
18/07/2025;MOT;EUROMOT;XS3114901336;Romania Fx 5.75% Sep30 Usd;USD;2000;Senior;16/07/2025;;16/09/2030;;
18/07/2025;MOT;EUROMOT;XS3114897633;Romania Fx 6.625% May36 Usd;USD;2000;Senior;16/07/2025;;16/05/2036;;
17/07/2025;EUROTLX;EUROTLX;IT0005660094;Banca Ifis Fx 3.625% Nov29 Call Eur;EUR;100000;;;;15/11/2029;;
17/07/2025;EUROTLX;EUROTLX;IT0005659609;Banca Fucino Mc Jul35 T2 Call Eur;EUR;200000;;;;17/07/2035;;
17/07/2025;EUROTLX;EUROTLX;IT0005655847;Mediobanca Fr Eur3m+0.35% Jul27 Eur;EUR;1000;;;;16/07/2027;;
17/07/2025;MOT;EUROMOT;EU000A4ED0K0;Eu Next Gen Fx 2.75% Dec32 Eur;EUR;1;Senior;15/07/2025;;13/12/2032;;
15/07/2025;EUROTLX;EUROTLX;XS2953808610;Cacib Fs Fx 3.04% Jun32 Eur;EUR;100000;;;;30/06/2032;;
15/07/2025;MOT;EUROMOT;XS3108534887;Adb Zc Jul40 Call Zar;ZAR;100000;Senior;10/07/2025;;10/07/2040;;
15/07/2025;MOT;EUROMOT;XS3107214762;Adb Fx 37.5% Jul26 Try;TRY;10000;Senior;09/07/2025;;09/07/2026;;
14/07/2025;EUROTLX;EUROTLX;XS3062135630;Barclaysbank Oc Jul43 Call Usd;USD;1000;;;;14/07/2043;;
14/07/2025;EUROTLX;EUROTLX;XS3062135556;Barclaysbank Oc Jul43 Call Eur;EUR;1000;;;;14/07/2043;;
14/07/2025;EUROTLX;EUROTLX;IT0005659989;Isp Fx 2.48% Jul28 Eur;EUR;100000;;;;14/07/2028;;
14/07/2025;MOT;EUROMOT;XS3109460959;Poland Green Fx 3.875% Jul37 Eur;EUR;1000;Senior;07/07/2025;;07/07/2037;;
14/07/2025;MOT;EUROMOT;XS3109446610;Poland Fx 3.125% Jul32 Eur;EUR;1000;Senior;07/07/2025;;07/07/2032;;
14/07/2025;MOT;EUROMOT;DE000BU25059;Bobl Fx 2.2% Oct30 Eur;EUR;1;Senior;10/07/2025;;10/10/2030;;
14/07/2025;MOT;BTP;IT0005660052;Btp Fx 2.35% Jan29 Eur;EUR;1000;Senior;15/07/2025;;15/01/2029;;
11/07/2025;EUROTLX;EUROTLX;XS3101363011;Teamsystem Fx 5% Jul31 Call Eur;EUR;100000;;;;01/07/2031;;
11/07/2025;EUROTLX;EUROTLX;IT0005659294;Isp Fx 2.53% Jul28 Eur;EUR;100000;;;;11/07/2028;;
11/07/2025;EUROTLX;EUROTLX;IT0005659146;Bancasellaho Mc Jul30 Call Eur;EUR;100000;;;;09/07/2030;;
11/07/2025;MOT;BOT;IT0005660029;Bot Zc Jul26 A Eur;EUR;1000;Senior;;;14/07/2026;;
10/07/2025;EUROTLX;EUROTLX;XS3106096178;Webuild Fx 4.125% Jul31 Call Eur;EUR;100000;;;;03/07/2031;;
10/07/2025;EUROTLX;EUROTLX;IT0005658379;Isp Fx 3.2% Jul32 Eur;EUR;100000;;;;10/07/2032;;
10/07/2025;EUROTLX;EUROTLX;IT0005657850;Banco Bpm Spa Mc Jan36 T2 Call Eur;EUR;200000;;;;01/01/2036;;
10/07/2025;EUROTLX;EUROTLX;IT0005657520;Bmps Mc Oct35 T2 Call Eur;EUR;200000;;;;02/10/2035;;
08/07/2025;MOT;DOMESTICMOT;IT0005652513;Cdp Mc Jul33 Eur;EUR;1000;Senior;08/07/2025;;08/07/2033;;
08/07/2025;MOT;EUROMOT;EU000A4D7YR5;Bei Fx 11% Jul30 Brl;BRL;5000;Senior;03/07/2025;;03/07/2030;;
08/07/2025;MOT;EUROMOT;DE000BU2Z056;Bund Fx 2.6% Aug35 Eur;EUR;1;Senior;04/07/2025;;15/08/2035;;
07/07/2025;EUROTLX;EUROTLX;XS3083843907;Deutschebank Sc Jul37 Call Usd;USD;2000;;;;07/07/2037;;
07/07/2025;EUROTLX;EUROTLX;XS3083834666;Deutschebank Sc Jul37 Call Eur;EUR;1000;;;;07/07/2037;;
07/07/2025;EUROTLX;EUROTLX;XS3058004907;Barclaysbank Mc Jul40 Call Eur;EUR;1000;;;;09/07/2040;;
07/07/2025;EUROTLX;EUROTLX;IT0005650731;Unicredit Spa Mc Ind Link Jun31 Eur;EUR;1000;;;;30/06/2031;;
02/07/2025;EUROTLX;EUROTLX;DE000MS0H141;Morganstanle Oc Ind Link Jun30 Eur;EUR;1000;;;;25/06/2030;;
01/07/2025;EUROTLX;EUROTLX;IT0005657645;Isp Fr Eur1m+0.8% Jul30 Eur;EUR;100000;;;;01/07/2030;;
01/07/2025;EUROTLX;EUROTLX;IT0005652042;Mediobanca Mc Jun32 Eur;EUR;1000;;;;30/06/2032;;
01/07/2025;MOT;DOMESTICMOT;IT0005652042;Mediobanca Mc Jun32 Eur;EUR;1000;Senior;30/06/2025;;30/06/2032;;
01/07/2025;MOT;EUROMOT;XS3096163160;Snam Spa Green Fx 3.25% Jul32 Call Eur;EUR;100000;Senior;01/07/2025;;01/07/2032;;
30/06/2025;EUROTLX;EUROTLX;XS3052775338;Barclaysbank Mc Jun40 Call Eur;EUR;1000;;;;29/06/2040;;
30/06/2025;EUROTLX;EUROTLX;XS3047654705;Bnpparibasis Fr Jun28 Eur;EUR;1000;;;;19/06/2028;;
30/06/2025;EUROTLX;EUROTLX;IT0005657405;Isp Fr Eur3m+0.74% Jun30 Eur;EUR;100000;;;;30/06/2030;;
30/06/2025;EUROTLX;EUROTLX;IT0005656282;Unicredit Spa Mc Jun37 T2 Call Eur;EUR;200000;;;;24/06/2037;;
30/06/2025;EUROTLX;EUROTLX;IT0005656621;Mediobanca Fr Eur3m+0.46% Dec27 Eur;EUR;100000;;;;27/12/2027;;
30/06/2025;EUROTLX;EUROTLX;IT0005651812;Mediobanca Mc Jun33 Eur;EUR;1000;;;;27/06/2033;;
27/06/2025;EUROTLX;EUROTLX;US91282CNH06;Usa Fx 3.875% Jun28 Usd;USD;100;;;;15/06/2028;;
27/06/2025;EUROTLX;EUROTLX;US91282CNG23;Usa Fx 4% May30 Usd;USD;100;;;;31/05/2030;;
27/06/2025;EUROTLX;EUROTLX;US91282CNF40;Usa Fx 4.125% May32 Usd;USD;100;;;;31/05/2032;;
27/06/2025;EUROTLX;EUROTLX;US91282CNE74;Usa Fx 3.875% May27 Usd;USD;100;;;;31/05/2027;;
27/06/2025;EUROTLX;EUROTLX;US912810UL07;Usa Fx 5% May45 Usd;USD;100;;;;15/05/2045;;
27/06/2025;EUROTLX;EUROTLX;US912810TX63;Usa Fx 4.25% Feb54 Usd;USD;100;;;;15/02/2054;;
27/06/2025;MOT;EUROMOT;US298785KL95;Bei Fx 4.25% Aug32 Usd;USD;1000;Senior;25/06/2025;;16/08/2032;;
26/06/2025;EUROTLX;EUROTLX;XS3048621737;Sg Issuer Mc Eq Link Jun30 Autocall Eur;EUR;1000;;;;27/06/2030;;
26/06/2025;MOT;BTP;IT0005657348;Btpi Fx Aug31 Eur;EUR;1000;Senior;27/06/2025;;15/08/2031;;
26/06/2025;MOT;BTP;IT0005657330;Btp Fx 2.1% Aug27 Eur;EUR;1000;Senior;27/06/2025;;26/08/2027;;
25/06/2025;EUROTLX;EUROTLX;XS3040135918;Bnpparibasis Fr Jun30 Eur;EUR;1000;;;;10/06/2030;;
25/06/2025;EUROTLX;EUROTLX;IT0005655375;Isp Sc Jun37 Usd;USD;2000;;;;23/06/2037;;
25/06/2025;EUROTLX;EUROTLX;IT0005655359;Isp Sc Jun33 Usd;USD;2000;;;;23/06/2033;;
25/06/2025;EUROTLX;EUROTLX;IT0005655342;Isp Sc Jun31 Usd;USD;2000;;;;23/06/2031;;
25/06/2025;MOT;EUROMOT;IT0005655375;Isp Sc Jun37 Usd;USD;2000;Senior;23/06/2025;;23/06/2037;;
25/06/2025;MOT;EUROMOT;IT0005655359;Isp Sc Jun33 Usd;USD;2000;Senior;23/06/2025;;23/06/2033;;
25/06/2025;MOT;EUROMOT;IT0005655342;Isp Sc Jun31 Usd;USD;2000;Senior;23/06/2025;;23/06/2031;;
24/06/2025;MOT;EUROMOT;XS3101504952;Fs Green Fx 3.375% Jun32 Eur;EUR;100000;Senior;24/06/2025;;24/06/2032;;
20/06/2025;MOT;EUROMOT;XS0942224352;Bei Fx 4% Jun33 Nok;NOK;10000;Senior;13/06/2013;;13/06/2033;;
20/06/2025;MOT;EUROMOT;EU000A4ECKZ8;Bei Green Fx 2.875% Jun35 Eur;EUR;1000;Senior;18/06/2025;;18/06/2035;;
20/06/2025;MOT;EUROMOT;EU000A3L6Q18;Bei Sustainable Fx 4.125% Jul30 Nok;NOK;10000;Senior;29/01/2025;;29/07/2030;;
19/06/2025;EUROTLX;EUROTLX;ZAG000208372;South Africa Fx 10% Mar33 Zar;ZAR;1;;;;31/03/2033;;
19/06/2025;EUROTLX;EUROTLX;XS3098976098;Generali Fx 4.135% Jun36 T2 Call Eur;EUR;200000;;;;18/06/2036;;
19/06/2025;EUROTLX;EUROTLX;XS3090092233;Stellantis Nv Fx 4.625% Jun35 Call Eur;EUR;100000;;;;06/06/2035;;
19/06/2025;EUROTLX;EUROTLX;XS3090081897;Stellantis Nv Fx 3.875% Jun31 Call Eur;EUR;100000;;;;06/06/2031;;
17/06/2025;EUROTLX;EUROTLX;IT0005654592;Unicredit Spa Mc Jun31 Call Eur;EUR;100000;;;;10/06/2031;;
17/06/2025;EUROTLX;EUROTLX;IT0005654584;Unicredit Spa Fx 3.725% Jun35 Call Eur;EUR;100000;;;;10/06/2035;;
17/06/2025;MOT;DOMESTICMOT;IT0005655136;Cdp Green Fx 3.25% Jun33 Eur;EUR;100000;Senior;17/06/2025;;17/06/2033;;
16/06/2025;EUROTLX;EUROTLX;XS3048660982;Sg Issuer Mc Jun35 Call Eur;EUR;1000;;;;14/06/2035;;
16/06/2025;EUROTLX;EUROTLX;XS2982322609;Gs Group Mc Jun32 Eur;EUR;1000;;;;16/06/2032;;
16/06/2025;EUROTLX;EUROTLX;IT0005655029;Isp Fx 3.7% Jun35 Eur;EUR;100000;;;;16/06/2035;;
12/06/2025;EUROTLX;EUROTLX;XS3085263138;Societegener Oc Jun45 Call Eur;EUR;1000;;;;12/06/2045;;
12/06/2025;EUROTLX;EUROTLX;XS3085263211;Societegener Oc Jun45 Call Usd;USD;2000;;;;12/06/2045;;
12/06/2025;EUROTLX;EUROTLX;XS2982312121;Gs Group Fr Eur3m+0.31% Nov26 Eur;EUR;1000;;;;30/11/2026;;
12/06/2025;EUROTLX;EUROTLX;IT0005654634;Isp Fr Eur1m+0.85% Jun30 Eur;EUR;100000;;;;12/06/2030;;
12/06/2025;MOT;BOT;IT0005655037;Bot Zc Jun26 A Eur;EUR;1000;Senior;;;12/06/2026;;
11/06/2025;EUROTLX;EUROTLX;IT0005652448;Bmps Mc May31 Call Eur;EUR;100000;;;;28/05/2031;;
11/06/2025;EUROTLX;EUROTLX;FR00140106Z3;Rcibanque Green Fx3.375% Jun30 Call Eur;EUR;1000;;;;06/06/2030;;
11/06/2025;EUROTLX;EUROTLX;DE000A4EB2X2;Merc Int Fin Fx 2.5% Sep28 Eur;EUR;1000;;;;05/09/2028;;
11/06/2025;EUROTLX;EUROTLX;DE000A4EB2Y0;Merc Int Fin Fx 3.125% Sep31 Eur;EUR;1000;;;;05/09/2031;;
10/06/2025;MOT;EUROMOT;ES0000012P33;Obligaciones Fx 3.2% Oct35 Eur;EUR;1000;Senior;04/06/2025;;31/10/2035;;
09/06/2025;EUROTLX;EUROTLX;US912803GY33;Usa Zc Strip Feb54 Usd;USD;100;;;;15/02/2054;;
09/06/2025;EUROTLX;EUROTLX;IT0005654626;Unicredit Spa Sc Jun38 Eur;EUR;1000;;;;09/06/2038;;
09/06/2025;MOT;DOMESTICMOT;IT0005654626;Unicredit Spa Sc Jun38 Eur;EUR;1000;Senior;09/06/2025;;09/06/2038;;
09/06/2025;MOT;BTP;IT0005654642;Btp Fx 2.7% Oct30 Eur;EUR;1000;Senior;11/06/2025;;01/10/2030;;
06/06/2025;EUROTLX;EUROTLX;IT0005646127;Unicredit Spa Mc Ind Link May31 Eur;EUR;1000;;;;30/05/2031;;
06/06/2025;MOT;EUROMOT;XS3081829759;Ebrd Zc May27 Try;TRY;10000;Senior;28/05/2025;;28/05/2027;;
06/06/2025;MOT;EUROMOT;XS2982309176;Gs Group Sc Jun40 Call Usd;USD;100;Senior;05/06/2025;;05/06/2040;;
06/06/2025;MOT;EUROMOT;XS2982308285;Gs Group Sc Jun40 Call Eur;EUR;100;Senior;05/06/2025;;05/06/2040;;
05/06/2025;EUROTLX;EUROTLX;IT0005646374;Cassa Centr Green Sc May28 Eur;EUR;1000;;;;30/05/2028;;
04/06/2025;EUROTLX;EUROTLX;XS2963709329;Gsi Oc Ind Link May30 Eur;EUR;1000;;;;30/05/2030;;
04/06/2025;MOT;EUROMOT;XS3075496896;Latvia Fx 2.875% May30 Eur;EUR;1000;Senior;21/05/2025;;21/05/2030;;
03/06/2025;MOT;BTP;IT0004976681;Btpstripital Zc Sep36 Eur;EUR;1;Senior;22/05/2013;;01/09/2036;;
03/06/2025;MOT;BTP;IT0004976657;Btpstripital Zc Mar35 Eur;EUR;1;Senior;22/05/2013;;01/03/2035;;
03/06/2025;MOT;BTP;IT0004848641;Btpstripital Zc Feb37 Eur;EUR;1;Senior;01/08/2005;;01/02/2037;;
03/06/2025;MOT;BTP;IT0004848534;Btpstripital Zc Feb33 Eur;EUR;1;Senior;18/03/2002;;01/02/2033;;
02/06/2025;EUROTLX;EUROTLX;XS2774095777;Bnpparibasis Mc May33 Eur;EUR;1000;;;;26/05/2033;;
30/05/2025;EUROTLX;EUROTLX;XS3074457196;Credem Hold Mc May37 T2 Call Eur;EUR;200000;;;;21/05/2037;;
30/05/2025;EUROTLX;EUROTLX;XS3032929930;Deutschebank Fx 2.9% May33 Eur;EUR;1000;;;;30/05/2033;;
30/05/2025;MOT;EUROMOT;EU000A4EBBP0;Bei Fx 2.25% Aug28 Eur;EUR;1000;Senior;21/05/2025;;14/08/2028;;
30/05/2025;MOT;EUROMOT;EU000A2SCAU4;Efsf Fx 2.75% Sep32 Eur;EUR;1000;Senior;26/05/2025;;27/09/2032;;
30/05/2025;MOT;EUROMOT;CH1415780118;Austria Green Fx 0.84% May40 Chf;CHF;5000;Senior;22/05/2025;;22/05/2040;;
30/05/2025;MOT;BTP;IT0005648255;Btp Italia Jun32 Eur;EUR;1000;Senior;04/06/2025;;04/06/2032;;
29/05/2025;EUROTLX;EUROTLX;XS3075491152;Bmw Fin Fx 2.625% May28 Eur;EUR;1000;;;;20/05/2028;;
29/05/2025;EUROTLX;EUROTLX;XS3075490188;Bmw Fin Fx 3.25% May31 Eur;EUR;1000;;;;20/05/2031;;
29/05/2025;EUROTLX;EUROTLX;XS3075490261;Bmw Fin Fx 3.75% Nov34 Eur;EUR;1000;;;;20/11/2034;;
29/05/2025;EUROTLX;EUROTLX;XS3025746853;Barclaysbank Oc May50 Call Eur;EUR;1000;;;;29/05/2050;;
29/05/2025;EUROTLX;EUROTLX;XS3025742860;Barclaysbank Oc May50 Call Usd;USD;1000;;;;29/05/2050;;
29/05/2025;EUROTLX;EUROTLX;IT0005652406;Isp Fx 2.34% May27 Eur;EUR;100000;;;;29/05/2027;;
27/05/2025;EUROTLX;EUROTLX;XS3074499511;Heidelberg L Fx 3% Jul30 Call Eur;EUR;1000;;;;10/07/2030;;
27/05/2025;MOT;EUROMOT;XS3074428841;Adb Fx 40% Nov26 Try;TRY;10000;Senior;23/05/2025;;23/11/2026;;
26/05/2025;EUROTLX;EUROTLX;XS3010075151;Bnpparibasis Rv May30 Eur;EUR;1000;;;;08/05/2030;;
26/05/2025;EUROTLX;EUROTLX;XS2768943313;Bnpparibasis Mc May30 Eur;EUR;1000;;;;14/05/2030;;
26/05/2025;MOT;EUROMOT;FR0010809608;Oatstripfran Zc Apr50 Eur;EUR;1;Senior;23/11/2009;;25/04/2050;;
23/05/2025;EUROTLX;EUROTLX;XS3028984568;Bnpparibasis Mc May37 Call Usd;USD;1000;;;;26/05/2037;;
23/05/2025;EUROTLX;EUROTLX;XS2768943743;Bnpparibasis Mc May37 Call Eur;EUR;1000;;;;25/05/2037;;
23/05/2025;MOT;EUROMOT;EU000A4EA8Y7;Eu Next Gen Fx 3.75% Oct45 Eur;EUR;1;Senior;20/05/2025;;12/10/2045;;
22/05/2025;EUROTLX;EUROTLX;IT0005643041;Mediobanca Mc May32 Eur;EUR;1000;;;;21/05/2032;;
22/05/2025;EUROTLX;EUROTLX;IT0005643033;Mediobanca Fx 4.4% May30 Usd;USD;2000;;;;21/05/2030;;
22/05/2025;MOT;EUROMOT;BE0000365743;Belgium Fx 2.6% Oct30 Eur;EUR;1;Senior;21/05/2025;;22/10/2030;;
